FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,,,Mauritius,2020-07-09 04:34:23,-20.348404000000002,57.552152,342,10,330,2,Mauritius,26.891718372940954,2.9239766081871346
,,,Moldova,2020-07-09 04:34:23,47.4116,28.3699,18471,614,11549,6308,Moldova,457.8871943049552,3.324129716853446
,,,Monaco,2020-07-09 04:34:23,43.7333,7.4167,108,4,95,9,Monaco,275.2013046580369,3.7037037037037037
,,,Mongolia,2020-07-09 04:34:23,46.8625,103.8467,227,0,197,30,Mongolia,6.924337429368707,0.0
,,,Montenegro,2020-07-09 04:34:23,42.708678000000006,19.37439,960,17,320,623,Montenegro,152.8511516378956,1.7708333333333333
,,,Morocco,2020-07-09 04:34:23,31.7917,-7.0926,14771,242,11316,3213,Morocco,40.01836005838764,1.6383454065398415
,,,Mozambique,2020-07-09 04:34:23,-18.665695,35.529562,1071,8,337,726,Mozambique,3.426604045024489,0.7469654528478058
,,,Namibia,2020-07-09 04:34:23,-22.9576,18.4904,593,0,25,568,Namibia,23.338040297278614,0.0
,,,Nepal,2020-07-09 04:34:23,28.1667,84.25,16423,35,7752,8636,Nepal,56.365131005427905,0.2131157522986056
,,,Netherlands,2020-07-09 04:34:23,52.1326,5.2913,50746,6135,0,44611,Netherlands,296.1562656460892,12.089622827414969
,,,New Zealand,2020-07-09 04:34:23,-40.9006,174.886,1540,22,1494,24,New Zealand,31.935412494584977,1.4285714285714286
,,,Nicaragua,2020-07-09 04:34:23,12.865416,-85.207229,2846,91,1993,762,Nicaragua,42.96138275874874,3.197470133520731
,,,Niger,2020-07-09 04:34:23,17.607789,8.081666,1097,68,976,53,Niger,4.531815160107336,6.198723792160438
,,,Nigeria,2020-07-09 04:34:23,9.082,8.6753,30249,684,12373,17192,Nigeria,14.674037355085998,2.261231776257066
,,,North Macedonia,2020-07-09 04:34:23,41.6086,21.7453,7406,359,3554,3493,North Macedonia,355.4800372471657,4.847421009991899
,,,Norway,2020-07-09 04:34:23,60.472,8.4689,8950,251,8138,561,Norway,165.09132040222516,2.804469273743017
,,,Oman,2020-07-09 04:34:23,21.512583,55.92325500000001,50207,233,32005,17969,Oman,983.1743959118179,0.4640787141235286
,,,Panama,2020-07-09 04:34:23,8.538,-80.7821,41251,819,19469,20963,Panama,956.0421325086306,1.9854064143899541
,,,Papua New Guinea,2020-07-09 04:34:23,-6.314993,143.95555,11,0,8,3,Papua New Guinea,0.12294586794026666,0.0
,,,Paraguay,2020-07-09 04:34:23,-23.4425,-58.4438,2554,20,1212,1322,Paraguay,35.80777087513126,0.7830853563038371
,,,Philippines,2020-07-09 04:34:23,12.879721,121.77401699999999,50359,1314,12588,36457,Philippines,45.95592387135061,2.6092654738974166
,,,Poland,2020-07-09 04:34:23,51.9194,19.1451,36689,1542,24878,10269,Poland,96.94132406328123,4.202894600561476
